zeit_utc,open,high,low,close,volume
2024-11-19 07:00,20677.75,20680.25,20650.75,20673.25,3847
2024-11-19 08:00,20673.25,20688.25,20562.50,20629.00,15390
2024-11-19 09:00,20628.25,20648.25,20492.75,20540.50,26858
2024-11-19 10:00,20540.50,20594.75,20530.50,20579.00,13078
2024-11-19 11:00,20578.75,20587.75,20537.00,20579.75,9404
2024-11-19 12:00,20581.00,20623.50,20577.00,20614.00,13206
2024-11-19 13:00,20614.25,20621.75,20415.75,20422.25,30938
2024-11-19 14:00,20421.75,20586.00,20382.50,20554.25,86836
2024-11-19 15:00,20553.75,20657.25,20524.50,20636.75,71746
2024-11-19 16:00,20637.00,20700.75,20636.50,20669.50,52892
2024-11-19 17:00,20669.75,20709.00,20643.25,20689.25,37458
2024-11-19 18:00,20691.25,20792.50,20681.25,20784.75,42911
2024-11-19 19:00,20784.75,20792.00,20709.25,20739.75,48315
2024-11-19 20:00,20739.25,20779.75,20726.75,20765.25,49325
2024-11-19 21:00,20765.50,20791.25,20754.00,20754.50,13682
2024-11-19 23:00,20762.25,20787.75,20750.25,20782.75,0
2024-11-20 00:00,20783.00,20834.25,20780.75,20813.50,7456
2024-11-20 01:00,20813.25,20823.00,20776.75,20790.25,7363
2024-11-20 02:00,20790.50,20814.75,20785.00,20809.50,4237
2024-11-20 03:00,20810.00,20812.50,20773.00,20785.50,4609
2024-11-20 04:00,20786.75,20809.00,20784.25,20800.50,3202
2024-11-20 05:00,20795.75,20804.50,20785.25,20796.00,2741
2024-11-20 06:00,20796.50,20840.25,20794.00,20830.75,6081
2024-11-20 07:00,20830.25,20840.50,20801.50,20825.50,6921
2024-11-20 08:00,20825.25,20843.25,20794.50,20795.00,9302
2024-11-20 09:00,20795.50,20829.00,20783.00,20794.75,7464
2024-11-20 10:00,20794.50,20799.50,20753.00,20781.50,8349
2024-11-20 11:00,20781.50,20804.25,20771.00,20793.25,7596
2024-11-20 12:00,20794.00,20823.25,20788.50,20819.75,7023
2024-11-20 13:00,20820.00,20830.00,20785.25,20793.00,9041
2024-11-20 14:00,20792.75,20793.25,20613.00,20614.00,84072
2024-11-20 15:00,20614.00,20645.00,20477.25,20627.00,119731
2024-11-20 16:00,20627.25,20709.00,20548.00,20689.00,81803
2024-11-20 17:00,20688.50,20708.00,20580.00,20607.25,54031
2024-11-20 18:00,20608.00,20632.00,20556.50,20589.75,39096
2024-11-20 19:00,20589.00,20627.25,20558.00,20609.00,34161
2024-11-20 20:00,20609.00,20764.50,20594.50,20751.25,69171
2024-11-20 21:00,20751.75,20786.25,20596.50,20738.75,33693
2024-11-20 23:00,20738.00,20762.25,20687.50,20752.50,0
2024-11-21 00:00,20753.75,20758.50,20644.75,20649.50,8981
2024-11-21 01:00,20650.75,20673.75,20620.25,20632.00,7670
2024-11-21 02:00,20631.25,20660.00,20628.00,20647.75,5064
2024-11-21 03:00,20648.50,20688.75,20648.50,20654.75,4826
2024-11-21 04:00,20654.00,20683.25,20638.00,20678.25,3439
2024-11-21 05:00,20684.75,20704.25,20661.00,20677.75,3905
2024-11-21 06:00,20678.50,20693.00,20665.25,20688.75,3295
2024-11-21 07:00,20689.75,20725.00,20606.00,20670.00,14337
2024-11-21 08:00,20669.75,20702.50,20635.50,20676.00,14351
2024-11-21 09:00,20675.00,20677.00,20595.25,20647.00,17219
2024-11-21 10:00,20646.75,20687.50,20632.25,20679.75,8429
2024-11-21 11:00,20679.50,20741.75,20678.25,20732.00,14883
2024-11-21 12:00,20731.75,20808.75,20723.25,20762.00,19757
2024-11-21 13:00,20761.50,20872.75,20759.00,20844.50,24987
2024-11-21 14:00,20844.75,20905.75,20628.25,20667.00,124537
2024-11-21 15:00,20668.75,20716.00,20514.25,20708.50,136362
2024-11-21 16:00,20708.75,20791.25,20688.00,20732.25,71118
2024-11-21 17:00,20732.75,20857.00,20697.50,20819.50,55408
2024-11-21 18:00,20819.50,20866.00,20811.75,20857.00,41003
2024-11-21 19:00,20856.50,20869.25,20792.25,20848.25,41174
2024-11-21 20:00,20848.00,20878.75,20819.25,20823.25,49689
2024-11-21 21:00,20823.75,20831.00,20790.50,20793.75,15348
2024-11-21 23:00,20794.00,20808.00,20758.50,20773.50,0
2024-11-22 00:00,20774.00,20793.00,20764.50,20770.00,3821
2024-11-22 01:00,20773.25,20812.00,20772.00,20799.75,4195
2024-11-22 02:00,20799.25,20826.00,20793.25,20820.00,3015
2024-11-22 03:00,20820.00,20844.50,20760.25,20791.00,7956
2024-11-22 04:00,20790.50,20821.75,20781.50,20808.75,4617
2024-11-22 05:00,20812.00,20817.50,20762.00,20766.50,5257
2024-11-22 06:00,20765.75,20814.00,20762.50,20801.25,4122
2024-11-22 07:00,20800.75,20827.75,20787.25,20811.00,4942
2024-11-22 08:00,20812.00,20831.00,20784.50,20806.75,8772
2024-11-22 09:00,20806.75,20808.50,20693.75,20757.00,19100
2024-11-22 10:00,20758.25,20759.75,20693.25,20741.00,10461
2024-11-22 11:00,20741.25,20774.50,20721.00,20771.00,7264
2024-11-22 12:00,20770.25,20802.50,20768.00,20796.50,8655
2024-11-22 13:00,20797.25,20815.75,20775.75,20783.75,12406
2024-11-22 14:00,20784.50,20873.00,20770.50,20854.00,76821
2024-11-22 15:00,20853.00,20855.50,20722.25,20842.00,100504
2024-11-22 16:00,20842.75,20847.50,20743.25,20813.00,69987
2024-11-22 17:00,20813.75,20864.75,20797.50,20854.75,45088
2024-11-22 18:00,20854.75,20880.00,20825.50,20846.75,37100
2024-11-22 19:00,20847.25,20854.25,20795.50,20846.75,31029
2024-11-22 20:00,20847.00,20868.50,20801.75,20847.25,52562
2024-11-22 21:00,20847.25,20879.75,20840.25,20878.75,15157
2024-11-24 23:00,20935.00,20954.25,20928.50,20935.50,6099
2024-11-25 00:00,20935.75,20956.50,20934.75,20955.00,3588
2024-11-25 01:00,20954.75,20968.00,20950.25,20953.25,4444
2024-11-25 02:00,20953.25,20964.50,20953.00,20959.50,2543
2024-11-25 03:00,20959.00,20968.00,20951.75,20961.00,2534
2024-11-25 04:00,20960.50,20970.50,20959.25,20966.25,2170
2024-11-25 05:00,20965.00,20972.00,20958.50,20970.75,2174
2024-11-25 06:00,20971.00,20971.00,20954.25,20959.00,2646
2024-11-25 07:00,20958.75,20966.75,20950.25,20954.75,2749
2024-11-25 08:00,20955.50,20964.00,20931.50,20959.00,6437
2024-11-25 09:00,20958.25,20970.50,20945.00,20967.25,5037
2024-11-25 10:00,20967.75,20980.75,20962.25,20978.75,4551
2024-11-25 11:00,20978.75,20980.25,20962.75,20964.75,4236
2024-11-25 12:00,20964.75,20973.00,20943.75,20955.00,8028
2024-11-25 13:00,20955.25,21027.00,20943.00,20999.00,21013
2024-11-25 14:00,20998.75,21081.00,20918.75,20944.75,104021
2024-11-25 15:00,20944.25,20957.00,20869.50,20895.00,97953
2024-11-25 16:00,20895.50,20961.50,20887.00,20905.00,51790
2024-11-25 17:00,20904.75,20910.25,20780.25,20851.25,68837
2024-11-25 18:00,20851.50,20890.00,20842.25,20851.50,39074
2024-11-25 19:00,20851.50,20879.50,20825.50,20861.50,31237
2024-11-25 20:00,20861.50,20886.50,20835.75,20878.25,46675
2024-11-25 21:00,20878.25,20918.00,20863.00,20899.50,16335
2024-11-25 23:00,20906.25,20933.50,20800.50,20833.25,0
2024-11-26 00:00,20835.00,20839.25,20785.25,20797.00,10668
2024-11-26 01:00,20799.00,20848.50,20755.25,20843.50,10403
2024-11-26 02:00,20842.50,20882.00,20842.50,20871.00,5452
2024-11-26 03:00,20872.50,20907.75,20865.25,20894.75,4398
2024-11-26 04:00,20894.25,20913.75,20886.25,20898.00,3638
2024-11-26 05:00,20906.25,20906.75,20870.25,20883.00,3688
2024-11-26 06:00,20882.50,20924.25,20882.00,20907.00,3530
2024-11-26 07:00,20906.50,20909.75,20875.00,20877.50,5114
2024-11-26 08:00,20877.50,20893.75,20852.00,20869.50,9275
2024-11-26 09:00,20870.00,20897.00,20863.75,20886.25,6874
2024-11-26 10:00,20886.25,20905.75,20864.00,20893.75,6118
2024-11-26 11:00,20894.50,20946.50,20880.25,20939.00,7729
2024-11-26 12:00,20938.75,20955.00,20926.50,20946.75,11816
2024-11-26 13:00,20946.75,20954.50,20919.75,20942.50,12241
2024-11-26 14:00,20943.25,21024.75,20924.50,20973.75,76529
2024-11-26 15:00,20974.00,20997.00,20919.50,20950.25,80984
2024-11-26 16:00,20950.00,20983.75,20923.50,20965.25,54043
2024-11-26 17:00,20965.25,20984.25,20926.75,20981.25,34501
2024-11-26 18:00,20981.00,20981.25,20943.75,20969.00,26139
2024-11-26 19:00,20968.25,20981.50,20903.75,20932.50,46613
2024-11-26 20:00,20932.00,21008.75,20927.00,20989.50,54422
2024-11-26 21:00,20989.50,21008.25,20988.50,20998.75,12393
2024-11-26 23:00,20990.75,20998.75,20967.75,20985.75,0
2024-11-27 00:00,20986.75,20989.75,20971.75,20985.75,2917
2024-11-27 01:00,20986.50,20997.75,20983.00,20994.75,2127
2024-11-27 02:00,20995.50,21019.00,20991.50,21005.25,3928
2024-11-27 03:00,21006.00,21006.75,20977.75,20984.00,3163
2024-11-27 04:00,20983.50,20985.25,20958.00,20964.50,2619
2024-11-27 05:00,20964.75,20971.50,20952.25,20958.75,2516
2024-11-27 06:00,20959.50,20978.00,20957.75,20969.50,2432
2024-11-27 07:00,20970.25,20990.00,20963.50,20978.50,4090
2024-11-27 08:00,20978.25,20981.50,20922.25,20937.00,13000
2024-11-27 09:00,20937.25,20953.00,20904.25,20921.75,9443
2024-11-27 10:00,20921.25,20939.00,20910.00,20935.00,4884
2024-11-27 11:00,20935.00,20938.75,20905.25,20930.50,4857
2024-11-27 12:00,20930.50,20951.00,20916.50,20943.75,7121
2024-11-27 13:00,20943.75,20970.75,20941.00,20953.50,13182
2024-11-27 14:00,20953.75,20955.50,20839.25,20860.50,66791
2024-11-27 15:00,20860.50,20861.50,20729.75,20743.50,101434
2024-11-27 16:00,20743.50,20762.00,20694.75,20716.50,69457
2024-11-27 17:00,20716.00,20746.00,20675.00,20743.00,45327
2024-11-27 18:00,20742.50,20818.50,20735.50,20810.25,45703
2024-11-27 19:00,20810.50,20826.25,20790.25,20804.00,35875
2024-11-27 20:00,20804.25,20829.75,20769.25,20816.50,55963
2024-11-27 21:00,20816.50,20826.50,20797.75,20806.50,13085
2024-11-27 23:00,20813.00,20834.50,20807.25,20823.50,0
2024-11-28 00:00,20825.75,20852.25,20823.75,20845.25,2168
2024-11-28 01:00,20845.25,20854.75,20833.50,20836.50,2631
2024-11-28 02:00,20837.25,20851.50,20835.00,20848.75,1299
2024-11-28 03:00,20848.50,20857.75,20841.75,20852.75,1365
2024-11-28 04:00,20854.00,20861.75,20850.25,20856.00,1216
2024-11-29 14:30,20828.75,20919.25,20805.50,20915.75,51848
2024-11-29 15:30,20915.50,20981.75,20905.50,20954.00,65418
2024-11-29 16:30,20954.50,21006.50,20954.50,20996.50,44590
2024-11-29 17:30,20996.50,21017.50,20979.50,20990.50,48580
2024-11-29 18:00,20990.75,20995.00,20980.25,20993.50,6851
2024-12-01 23:00,20995.25,21004.00,20952.50,20964.50,6052
2024-12-02 00:00,20966.00,20983.00,20941.75,20956.50,5167
2024-12-02 01:00,20956.25,20974.50,20949.75,20957.50,3583
2024-12-02 02:00,20957.75,20961.75,20948.00,20953.25,2766
2024-12-02 03:00,20953.75,20964.75,20945.50,20950.25,2624
2024-12-02 04:00,20949.50,20966.25,20947.00,20956.75,2694
2024-12-02 05:00,20957.50,20964.00,20947.00,20954.25,2341
2024-12-02 06:00,20954.50,20956.75,20940.00,20953.00,2546
2024-12-02 07:00,20953.25,20962.25,20947.00,20961.25,2466
2024-12-02 08:00,20962.00,20974.00,20952.00,20970.25,4244
2024-12-02 09:00,20970.50,20973.50,20950.00,20952.25,4297
2024-12-02 10:00,20952.50,20963.50,20940.00,20949.25,5125
2024-12-02 11:00,20949.75,20970.00,20947.50,20968.25,4110
